Surfactant;Concentration;Intake
Controle;0;1,095238095
Controle;0;0,523809524
Controle;0;0,777777778
Controle;0;0,523809524
Controle;0;0,873015873
Controle;0;0,619047619
Controle;0;0,904761905
Controle;0;1,031746032
Controle;0;0,996677741
Controle;0;0,598006645
Controle;0;0,797342193
Controle;0;0,830564784
Controle;0;0,465116279
Controle;0;0,897009967
Controle;0;0,863787375
Controle;0;1,229508197
Controle;0;1
Controle;0;0,967213115
Controle;0;0,901639344
Controle;0;1,131147541
Controle;0;0,704918033
Controle;0;1,06557377
Controle;0;1
Controle;0;0,757575758
Controle;0;0,909090909
Controle;0;0,818181818
Controle;0;1,03030303
Controle;0;0,696969697
Controle;0;1,03030303
Controle;0;0,86038961
Controle;0;1,217532468
Controle;0;1,185064935
Controle;0;0,99025974
Controle;0;0,925324675
Controle;0;0,868852459
Controle;0;0,803278689
Controle;0;0,639344262
Controle;0;0,344262295
Controle;0;0,770491803
Controle;0;0,540983607
Controle;0;0,573770492
Controle;0;0,864197531
Controle;0;0,586419753
Controle;0;0,740740741
Controle;0;0,37037037
Controle;0;1,141975309
Controle;0;1,265432099
Controle;0;0,895061728
Controle;0;0,771604938
Controle;0;1,233552632
Controle;0;1,069078947
Controle;0;1,101973684
Controle;0;1,069078947
Controle;0;1,167763158
Controle;0;1,003289474
Controle;0;0,970394737
Controle;0;1,036184211
Controle;0;1,287128713
Controle;0;1,287128713
Controle;0;0,99009901
Controle;0;1,089108911
Controle;0;1,122112211
Triton;0,0008;1,109215017
Triton;0,0008;1,109215017
Triton;0,0008;0,733788396
Triton;0,0008;1,14334471
Triton;0,0008;1,177474403
Triton;0,0008;1,177474403
Triton;0,0008;1,040955631
Triton;0,0008;1,206896552
Triton;0,0008;1,157635468
Triton;0,0008;1,256157635
Triton;0,0008;0,911330049
Triton;0,0008;1,403940887
Triton;0,0008;1,157635468
Triton;0,0008;1,256157635
Triton;0,0008;1,417910448
Triton;0,0008;1,218905473
Triton;0,0008;1,218905473
Triton;0,0008;0,472636816
Triton;0,0008;0,373134328
Triton;0,0008;1,268656716
Triton;0,0008;1,069651741
Triton;0,0008;0,85
Triton;0,0008;1,083333333
Triton;0,0008;0,95
Triton;0,0008;1,15
Triton;0,0008;1,05
Triton;0,0008;1,05
Triton;0,0008;1,016666667
Triton;0,0008;1,05
Triton;0,0008;0,309278351
Triton;0,0008;1,030927835
Triton;0,0008;0,927835052
Triton;0,0008;0,927835052
Triton;0,0008;0,756013746
Triton;0,0008;0,824742268
Triton;0,0008;0,859106529
Tween;0,0008;0,833333333
Tween;0,0008;1,033333333
Tween;0,0008;1
Tween;0,0008;0,933333333
Tween;0,0008;1,1
Tween;0,0008;0,866666667
Tween;0,0008;1,066666667
Tween;0,0008;1,148648649
Tween;0,0008;0,777027027
Tween;0,0008;0,912162162
Tween;0,0008;0,945945946
Tween;0,0008;1,148648649
Tween;0,0008;2,060810811
Tween;0,0008;1,148648649
Tween;0,0008;1,283783784
Tween;0,0008;0,931372549
Tween;0,0008;0,68627451
Tween;0,0008;0,931372549
Tween;0,0008;0,441176471
Tween;0,0008;1,225490196
Tween;0,0008;1,37254902
Tween;0,0008;1,006711409
Tween;0,0008;0,704697987
Tween;0,0008;0,906040268
Tween;0,0008;0,738255034
Tween;0,0008;0,872483221
Tween;0,0008;0,973154362
Tween;0,0008;0,824742268
Tween;0,0008;0,618556701
Tween;0,0008;0,618556701
Tween;0,0008;0,824742268
Tween;0,0008;0,618556701
Tween;0,0008;0,962199313
Tween;0,0008;0,481099656
Tween;0,0008;0,068728522
Triton;0,004;0,942760943
Triton;0,004;1,144781145
Triton;0,004;0,909090909
Triton;0,004;1,111111111
Triton;0,004;1,212121212
Triton;0,004;0,841750842
Triton;0,004;1,077441077
Triton;0,004;0,909090909
Triton;0,004;1,258389262
Triton;0,004;1,05704698
Triton;0,004;1,224832215
Triton;0,004;0,822147651
Triton;0,004;1,090604027
Triton;0,004;0,755033557
Triton;0,004;1,224832215
Triton;0,004;0,989932886
Triton;0,004;0,5
Triton;0,004;0,7
Triton;0,004;1,05
Triton;0,004;0,9
Triton;0,004;1,15
Triton;0,004;0,75
Triton;0,004;0,95
Triton;0,004;0,95
Triton;0,004;0,627062706
Triton;0,004;1,122112211
Triton;0,004;1,188118812
Triton;0,004;1,188118812
Triton;0,004;0,919732441
Triton;0,004;1,053511706
Triton;0,004;1,120401338
Triton;0,004;1,02006689
Triton;0,004;1,153846154
Triton;0,004;0,953177258
Triton;0,004;1,086956522
Tween;0,004;0,047923323
Tween;0,004;0,495207668
Tween;0,004;0,974440895
Tween;0,004;0,974440895
Tween;0,004;1,166134185
Tween;0,004;0,878594249
Tween;0,004;1,07028754
Tween;0,004;1,006389776
Tween;0,004;1,205211726
Tween;0,004;0,846905537
Tween;0,004;0,977198697
Tween;0,004;0,879478827
Tween;0,004;0,618892508
Tween;0,004;1,205211726
Tween;0,004;1,270358306
Tween;0,004;1,052631579
Tween;0,004;0,296052632
Tween;0,004;0,888157895
Tween;0,004;0,723684211
Tween;0,004;0,986842105
Tween;0,004;0,921052632
Tween;0,004;0,986842105
Tween;0,004;0,921052632
Tween;0,004;0,980392157
Tween;0,004;1,078431373
Tween;0,004;0,947712418
Tween;0,004;0,947712418
Tween;0,004;1,013071895
Tween;0,004;1,209150327
Tween;0,004;1,14379085
Tween;0,004;1,045751634
Triton;0,02;0,99009901
Triton;0,02;0,95709571
Triton;0,02;1,122112211
Triton;0,02;1,02310231
Triton;0,02;0,95709571
Triton;0,02;0,858085809
Triton;0,02;1,02310231
Triton;0,02;1,02310231
Triton;0,02;0,993150685
Triton;0,02;1,061643836
Triton;0,02;0,821917808
Triton;0,02;0,856164384
Triton;0,02;0,719178082
Triton;0,02;1,02739726
Triton;0,02;1,369863014
Triton;0,02;1,116666667
Triton;0,02;1,016666667
Triton;0,02;0,783333333
Triton;0,02;0,816666667
Triton;0,02;1,016666667
Triton;0,02;1,15
Triton;0,02;0,816666667
Triton;0,02;0,683333333
Triton;0,02;0,602006689
Triton;0,02;0,635451505
Triton;0,02;0,16722408
Triton;0,02;0,668896321
Triton;0,02;1,2
Triton;0,02;0,9
Triton;0,02;0,766666667
Triton;0,02;1
Triton;0,02;1,133333333
Triton;0,02;0,8
Triton;0,02;0,9
Tween;0,02;1,109271523
Tween;0,02;1,009933775
Tween;0,02;1,109271523
Tween;0,02;1,175496689
Tween;0,02;0,910596026
Tween;0,02;1,07615894
Tween;0,02;1,109271523
Tween;0,02;0,943708609
Tween;0,02;1,089108911
Tween;0,02;1,221122112
Tween;0,02;0,693069307
Tween;0,02;0,726072607
Tween;0,02;0,759075908
Tween;0,02;0,891089109
Tween;0,02;0,759075908
Tween;0,02;0,924092409
Tween;0,02;1,245847176
Tween;0,02;1,212624585
Tween;0,02;0,61461794
Tween;0,02;0,182724252
Tween;0,02;0,813953488
Tween;0,02;0,880398671
Tween;0,02;0,84717608
Tween;0,02;1,346153846
Tween;0,02;0,865384615
Tween;0,02;0,769230769
Tween;0,02;0,961538462
Tween;0,02;1,057692308
Tween;0,02;1,057692308
Tween;0,02;0,865384615
Triton;0,1;0,366666667
Triton;0,1;0,533333333
Triton;0,1;0,633333333
Triton;0,1;0,533333333
Triton;0,1;0,533333333
Triton;0,1;1,112956811
Triton;0,1;0,647840532
Triton;0,1;0,647840532
Triton;0,1;0,514950166
Triton;0,1;0,548172757
Triton;0,1;0,714285714
Triton;0,1;0,548172757
Triton;0,1;0,687285223
Triton;0,1;0,549828179
Triton;0,1;0,549828179
Triton;0,1;0,240549828
Triton;0,1;0,721649485
Triton;0,1;0,274914089
Triton;0,1;0,721649485
Triton;0,1;0,412371134
Triton;0,1;0,656565657
Triton;0,1;0,252525253
Triton;0,1;0,454545455
Triton;0,1;0,218855219
Triton;0,1;0,252525253
Triton;0,1;0,555555556
Triton;0,1;0,555555556
Triton;0,1;0,774410774
Triton;0,1;0,336700337
Triton;0,1;0,202020202
Triton;0,1;0,538720539
Triton;0,1;0,437710438
Triton;0,1;0,303030303
Triton;0,1;0,404040404
Tween;0,1;1,048109966
Tween;0,1;0,704467354
Tween;0,1;0,60137457
Tween;0,1;0,910652921
Tween;0,1;0,807560137
Tween;0,1;0,670103093
Tween;0,1;0,738831615
Tween;0,1;0,979381443
Tween;0,1;1,225490196
Tween;0,1;0,735294118
Tween;0,1;0,833333333
Tween;0,1;0,931372549
Tween;0,1;1,12745098
Tween;0,1;0,637254902
Tween;0,1;0,882352941
Tween;0,1;0,784313725
Tween;0,1;1,004901961
Tween;0,1;1,004901961
Tween;0,1;1,495098039
Tween;0,1;1,299019608
Tween;0,1;1,25
Tween;0,1;1,151960784
Tween;0,1;1,151960784
Tween;0,1;0,939597315
Tween;0,1;0,872483221
Tween;0,1;0,805369128
Tween;0,1;1,006711409
Tween;0,1;0,872483221
Tween;0,1;1,043046358
Tween;0,1;0,844370861
Tween;0,1;0,877483444
Tween;0,1;0,943708609
Tween;0,1;1,109271523
Tween;0,1;1,009933775
Tween;0,1;1,109271523
Tween;0,1;0,943708609
Triton;0,5;0,227272727
Triton;0,5;0,292207792
Triton;0,5;0,097402597
Triton;0,5;0,194805195
Triton;0,5;0,227272727
Triton;0,5;0,162337662
Triton;0,5;0,264900662
Triton;0,5;0,298013245
Triton;0,5;0,099337748
Triton;0,5;0,198675497
Triton;0,5;0,066225166
Triton;0,5;0,331125828
Triton;0,5;0,099337748
Triton;0,5;0,231788079
Triton;0,5;0,363036304
Triton;0,5;0
Triton;0,5;0,594059406
Triton;0,5;0,198019802
Triton;0,5;0,132013201
Triton;0,5;0,396039604
Triton;0,5;0,264026403
Triton;0,5;0,450160772
Triton;0,5;0,482315113
Triton;0,5;0,514469453
Triton;0,5;0,225080386
Triton;0,5;0,225080386
Triton;0,5;0,128617363
Triton;0,5;0,257234727
Triton;0,5;0,192926045
Triton;0,5;0,148514851
Triton;0,5;0,379537954
Triton;0,5;0,643564356
Triton;0,5;0,412541254
Tween;0,5;1,404682274
Tween;0,5;1,27090301
Tween;0,5;1,538461538
Tween;0,5;1,538461538
Tween;0,5;1,003344482
Tween;0,5;0,921501706
Tween;0,5;0,921501706
Tween;0,5;0,989761092
Tween;0,5;0,819112628
Tween;0,5;1,433447099
Tween;0,5;0,682593857
Tween;0,5;0,921501706
Tween;0,5;1,111111111
Tween;0,5;1,38047138
Tween;0,5;0,976430976
Tween;0,5;1,313131313
Tween;0,5;0,942760943
Tween;0,5;0,942760943
Tween;0,5;1,01010101
Tween;0,5;1,144781145
Tween;0,5;0,802047782
Tween;0,5;0,529010239
Tween;0,5;0,836177474
Tween;0,5;0,494880546
Tween;0,5;1,109215017
Tween;0,5;1,348122867
Tween;0,5;1,075085324
Tween;0,5;0,836177474
Tween;0,5;0,901360544
Tween;0,5;0,765306122
Tween;0,5;1,173469388
Tween;0,5;0,93537415
Tween;0,5;0,663265306
Tween;0,5;0,527210884
Tween;0,5;0,799319728
Tween;0,5;1,581632653
Triton;1;0,189655172
Triton;1;0,224137931
Triton;1;0,224137931
Triton;1;0,086206897
Triton;1;0,155172414
Triton;1;0,224137931
Triton;1;0,120689655
Triton;1;0,099667774
Triton;1;0,166112957
Triton;1;0,099667774
Triton;1;0,066445183
Triton;1;0,199335548
Triton;1;0,033222591
Triton;1;0,066445183
Triton;1;0,166112957
Triton;1;0,216666667
Triton;1;0,083333333
Triton;1;0,116666667
Triton;1;0,216666667
Triton;1;0,983333333
Triton;1;0,016666667
Triton;1;0,05
Triton;1;0,215231788
Triton;1;0,182119205
Triton;1;0,215231788
Triton;1;0,182119205
Triton;1;0,149006623
Triton;1;0,347682119
Triton;1;0,248344371
Triton;1;0,149006623
Tween;1;1,023489933
Tween;1;1,05704698
Tween;1;1,157718121
Tween;1;1,325503356
Tween;1;1,124161074
Tween;1;1,493288591
Tween;1;1,325503356
Tween;1;1,325503356
Tween;1;0,871710526
Tween;1;0,871710526
Tween;1;1,726973684
Tween;1;1,463815789
Tween;1;0,805921053
Tween;1;1,003289474
Tween;1;1,200657895
Tween;1;1,101973684
Tween;1;0,218855219
Tween;1;0,151515152
Tween;1;0,892255892
Tween;1;1,060606061
Tween;1;1,430976431
Tween;1;1,632996633
Tween;1;1,262626263
Tween;1;0,824915825
Tween;1;0,813953488
Tween;1;0,681063123
Tween;1;0,415282392
Tween;1;0,780730897
Tween;1;0,747508306
Tween;1;0,813953488
Tween;1;0,913621262
Tween;1;1,179401993
Triton;2,5;0,259433962
Triton;2,5;0,400943396
Triton;2,5;0,070754717
Triton;2,5;0,400943396
Triton;2,5;0,306603774
Triton;2,5;0,259433962
Triton;2,5;0,16509434
Triton;2,5;0,218120805
Triton;2,5;0,083892617
Triton;2,5;0,151006711
Triton;2,5;0,016778523
Triton;2,5;0,016778523
Triton;2,5;0,151006711
Triton;2,5;-0,016666667
Triton;2,5;0,183333333
Triton;2,5;0,15
Triton;2,5;0,15
Triton;2,5;0,183333333
Triton;2,5;0,083333333
Triton;2,5;0,05
Triton;2,5;0,216666667
Triton;2,5;0,066445183
Triton;2,5;0,132890365
Triton;2,5;0,365448505
Triton;2,5;0,099667774
Triton;2,5;0,166112957
Triton;2,5;0,132890365
Triton;2,5;0,415282392
Triton;2,5;0,315614618
Triton;2,5;0,215946844
Triton;2,5;0,315614618
Triton;2,5;0,182724252
Triton;2,5;0,282392027
Triton;2,5;0,149501661
Triton;2,5;0,149501661
Tween;2,5;0,821678322
Tween;2,5;0,716783217
Tween;2,5;0,576923077
Tween;2,5;0,576923077
Tween;2,5;0,437062937
Tween;2,5;0,646853147
Tween;2,5;0,786713287
Tween;2,5;0,576923077
Tween;2,5;0,810810811
Tween;2,5;0,709459459
Tween;2,5;1,047297297
Tween;2,5;0,912162162
Tween;2,5;0,945945946
Tween;2,5;0,810810811
Tween;2,5;0,777027027
Tween;2,5;1,452702703
Tween;2,5;0,952380952
Tween;2,5;0,782312925
Tween;2,5;1,258503401
Tween;2,5;0,918367347
Tween;2,5;1,156462585
Tween;2,5;0,578231293
Tween;2,5;1,054421769
Tween;2,5;0,782312925
Tween;2,5;0,816326531
Tween;2,5;0,816326531
Tween;2,5;0,884353741
Tween;2,5;1,156462585
Tween;2,5;0,74829932
Tween;2,5;1,088435374
Tween;2,5;0,612244898
Tween;2,5;0,986394558
Tween;5;0,836120401
Tween;5;0,836120401
Tween;5;0,769230769
Tween;5;0,769230769
Tween;5;0,836120401
Tween;5;0,702341137
Tween;5;0,668896321
Tween;5;0,936454849
Tween;5;0,879478827
Tween;5;0,912052117
Tween;5;0,749185668
Tween;5;1,172638436
Tween;5;0,814332248
Tween;5;0,651465798
Tween;5;1,172638436
Tween;5;0,06514658
Tween;5;0,97359736
Tween;5;0,907590759
Tween;5;0,676567657
Tween;5;0,808580858
Tween;5;0,874587459
Tween;5;0,97359736
Tween;5;0,907590759
Tween;5;1,138613861
Tween;5;0,93442623
Tween;5;0,606557377
Tween;5;0,606557377
Tween;5;0,901639344
Tween;5;0,704918033
Tween;5;0,639344262
Tween;5;0,901639344
Tween;5;0,704918033
Tween;7,5;0,946843854
Tween;7,5;0,813953488
Tween;7,5;0,880398671
Tween;7,5;0,780730897
Tween;7,5;0,813953488
Tween;7,5;0,61461794
Tween;7,5;0,681063123
Tween;7,5;0,913621262
Tween;7,5;0,785953177
Tween;7,5;0,618729097
Tween;7,5;0,217391304
Tween;7,5;0,618729097
Tween;7,5;0,451505017
Tween;7,5;1,02006689
Tween;7,5;0,752508361
Tween;7,5;0,652173913
Tween;7,5;0,743243243
Tween;7,5;0,439189189
Tween;7,5;0,878378378
Tween;7,5;0,067567568
Tween;7,5;0,540540541
Tween;7,5;0,878378378
Tween;7,5;1,418918919
Tween;7,5;0,675675676
Tween;7,5;0,89527027
Tween;7,5;0,760135135
Tween;7,5;0,793918919
Tween;7,5;0,422297297
Tween;7,5;0,760135135
Tween;7,5;0,35472973
Tween;7,5;0,929054054
Tween;7,5;0,625
